???	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Normal	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	0	1	1
Fire	1	1	-1	0	1	2	0	1	0	1	1	1	2	1	2	2	0	1
Water	1	1	2	0	1	0	0	1	2	1	1	1	1	1	0	2	1	1
Electric	1	1	1	2	-1	0	0	2	-1	1	1	1	1	1	1	2	1	1
Plant	1	1	0	2	1	0	0	0	2	1	1	1	1	1	1	0	2	1
Magic	1	1	1	1	1	1	0	1	1	2	2	0	1	2	1	0	1	2
Air	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1
Earth	1	1	2	1	2	0	1	-1	1	1	2	1	1	1	1	2	1	1
Poison	1	1	1	1	1	2	2	1	1	-1	1	1	0	1	1	-1	1	2
Light	1	1	0	2	1	0	2	2	0	1	-1	2	1	2	2	-1	1	2
Dark	1	1	1	1	1	2	2	1	1	1	-1	0	1	0	1	1	1	2
Bug	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	1	0
Ghost	1	-1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	-1
Ice	1	1	0	0	1	2	1	1	2	1	1	1	2	1	0	2	1	1
Metal	1	1	0	0	0	1	1	0	1	1	2	1	1	0	2	0	2	0
Rock	1	1	2	1	1	1	1	2	0	1	1	1	2	1	2	0	0	0
Martial	1	2	1	1	1	1	0	0	1	1	0	1	1	-1	2	2	2	1
